track_id,artist_name,genre,track_duration_sec,is_french_language
TRK_9996,Orchestra Nova,Classical,450,FALSE
TRK_5915,Classical Evening,Classical,450,TRUE
TRK_7362,Orchestra Nova,Classical,450,TRUE
TRK_6181,Classical Masters,Classical,450,TRUE
TRK_7484,Vienna Philharmonic,Classical,450,FALSE
TRK_1583,Orchestra Nova,Classical,450,FALSE
TRK_3637,Classical Masters,Classical,450,FALSE
TRK_9419,Orchestra Prime,Classical,450,TRUE
TRK_1774,Classical Evening,Classical,450,FALSE
TRK_7508,Orchestra Prime,Classical,450,TRUE
TRK_5560,Vienna Strings,Classical,450,TRUE
TRK_7257,Vienna Strings,Classical,450,FALSE
TRK_2916,Classical Masters,Classical,450,TRUE
TRK_8439,Baroque Collection,Classical,450,TRUE
TRK_2486,Symphony Hall,Classical,450,FALSE
TRK_3401,Vienna Strings,Classical,450,FALSE
TRK_5450,Orchestra Prime,Classical,450,TRUE
TRK_6988,Classical Masters,Classical,450,FALSE
TRK_2199,Vienna Philharmonic,Classical,450,FALSE
TRK_5317,Symphony Hall,Classical,450,TRUE
TRK_8719,Orchestra Prime,Classical,450,FALSE
TRK_9541,Orchestra Prime,Classical,450,FALSE
TRK_5379,Orchestra Prime,Classical,450,FALSE
TRK_8273,Orchestra Nova,Classical,450,TRUE
TRK_9495,Orchestra Nova,Classical,450,FALSE
TRK_5834,Symphony Hall,Classical,450,FALSE
TRK_3513,Symphony Hall,Classical,450,TRUE
TRK_2010,Vienna Philharmonic,Classical,450,TRUE
TRK_4357,Orchestra Prime,Classical,450,FALSE
TRK_6759,Classical Masters,Classical,450,FALSE
TRK_2448,Vienna Strings,Classical,450,FALSE
TRK_1096,Orchestra Prime,Classical,450,FALSE
TRK_7437,Vienna Strings,Classical,450,FALSE
TRK_3038,Symphony Hall,Classical,450,FALSE
TRK_5087,Orchestra Nova,Classical,450,FALSE
TRK_7783,Baroque Collection,Classical,450,FALSE
TRK_5439,Vienna Strings,Classical,450,FALSE
TRK_1441,Baroque Collection,Classical,450,FALSE
TRK_7585,Classical Evening,Classical,450,FALSE
TRK_6201,Orchestra Prime,Classical,450,FALSE
TRK_6904,Orchestra Prime,Classical,450,FALSE
TRK_2489,Classical Evening,Classical,450,TRUE
TRK_7929,Vienna Philharmonic,Classical,450,TRUE
TRK_4962,Symphony Hall,Classical,450,TRUE
TRK_9441,Classical Evening,Classical,450,TRUE
TRK_6963,Vienna Strings,Classical,450,TRUE
TRK_3977,Classical Masters,Classical,450,TRUE
TRK_4942,Symphony Hall,Classical,450,TRUE
TRK_3655,Baroque Collection,Classical,450,FALSE
TRK_2444,Symphony Hall,Classical,450,FALSE
TRK_3776,Vienna Philharmonic,Classical,450,FALSE
TRK_8681,Vienna Philharmonic,Classical,450,TRUE
TRK_2310,Orchestra Nova,Classical,450,TRUE
TRK_4791,Orchestra Nova,Classical,450,FALSE
TRK_7141,Orchestra Nova,Classical,450,FALSE
TRK_3421,Vienna Philharmonic,Classical,450,FALSE
TRK_3556,Orchestra Prime,Classical,450,TRUE
TRK_2245,Baroque Collection,Classical,450,FALSE
TRK_4570,Orchestra Nova,Classical,450,TRUE
TRK_9731,Vienna Philharmonic,Classical,450,FALSE
TRK_2258,Symphony Hall,Classical,450,FALSE
TRK_2152,Vienna Philharmonic,Classical,450,FALSE
TRK_6008,Symphony Hall,Classical,450,FALSE
TRK_8362,Classical Evening,Classical,450,FALSE
TRK_8103,Vienna Strings,Classical,450,FALSE
TRK_9584,Baroque Collection,Classical,450,FALSE
TRK_8784,Vienna Strings,Classical,450,TRUE
TRK_1299,Orchestra Nova,Classical,450,TRUE
TRK_7978,Classical Masters,Classical,450,FALSE
TRK_7155,Orchestra Prime,Classical,450,TRUE
TRK_2142,Orchestra Nova,Classical,450,TRUE
TRK_6340,Vienna Strings,Classical,450,FALSE
TRK_1560,Symphony Hall,Classical,450,FALSE
TRK_7240,Baroque Collection,Classical,450,FALSE
TRK_1428,Classical Evening,Classical,450,FALSE
TRK_8476,Symphony Hall,Classical,450,FALSE
TRK_8255,Orchestra Nova,Classical,450,FALSE
TRK_4501,Orchestra Prime,Classical,450,FALSE
TRK_3742,Vienna Strings,Classical,450,TRUE
TRK_6439,Baroque Collection,Classical,450,TRUE
TRK_7339,Classical Evening,Classical,450,FALSE
TRK_8486,Orchestra Nova,Classical,450,TRUE
TRK_2253,Classical Evening,Classical,450,FALSE
TRK_4966,Vienna Strings,Classical,450,FALSE
TRK_2307,Baroque Collection,Classical,450,FALSE
TRK_3037,Symphony Hall,Classical,450,TRUE
TRK_7694,Classical Evening,Classical,450,FALSE
TRK_2295,Orchestra Nova,Classical,450,FALSE
TRK_8082,Vienna Philharmonic,Classical,450,TRUE
TRK_2521,Orchestra Nova,Classical,450,TRUE
TRK_7575,Vienna Philharmonic,Classical,450,TRUE
TRK_6444,Classical Evening,Classical,450,FALSE
TRK_9628,Classical Masters,Classical,450,FALSE
TRK_6530,Vienna Philharmonic,Classical,450,FALSE
TRK_3449,Vienna Strings,Classical,450,TRUE
TRK_2511,Baroque Collection,Classical,450,FALSE
TRK_4144,Orchestra Prime,Classical,450,FALSE
TRK_9380,Symphony Hall,Classical,450,FALSE
TRK_8602,Symphony Hall,Classical,450,FALSE
TRK_9156,Baroque Collection,Classical,450,FALSE
TRK_9908,Baroque Collection,Classical,450,TRUE
TRK_9025,Vienna Philharmonic,Classical,450,FALSE
TRK_5593,Classical Evening,Classical,450,FALSE
TRK_5069,Baroque Collection,Classical,450,FALSE
TRK_8844,Classical Evening,Classical,450,TRUE
TRK_5940,Symphony Hall,Classical,450,FALSE
TRK_8657,Vienna Philharmonic,Classical,450,TRUE
TRK_2183,Symphony Hall,Classical,450,FALSE
TRK_1324,Orchestra Nova,Classical,450,FALSE
TRK_1416,Vienna Strings,Classical,450,FALSE
TRK_5015,Orchestra Nova,Classical,450,FALSE
TRK_7088,Vienna Strings,Classical,450,TRUE
TRK_2410,Classical Evening,Classical,450,FALSE
TRK_7584,Vienna Strings,Classical,450,TRUE
TRK_6578,Vienna Philharmonic,Classical,450,FALSE
